,date,num
187,2016-07-09 00:00:00,176
188,2016-07-10 00:00:00,165
189,2016-07-11 00:00:00,453
190,2016-07-12 00:00:00,363
191,2016-07-13 00:00:00,308
192,2016-07-14 00:00:00,330
193,2016-07-15 00:00:00,339
194,2016-07-16 00:00:00,172
195,2016-07-17 00:00:00,184
196,2016-07-18 00:00:00,425
197,2016-07-19 00:00:00,371
198,2016-07-20 00:00:00,283
199,2016-07-21 00:00:00,359
200,2016-07-22 00:00:00,279
201,2016-07-23 00:00:00,168
202,2016-07-24 00:00:00,173
203,2016-07-25 00:00:00,424
204,2016-07-26 00:00:00,360
205,2016-07-27 00:00:00,292
206,2016-07-28 00:00:00,276
207,2016-07-29 00:00:00,291
208,2016-07-30 00:00:00,172
209,2016-07-31 00:00:00,147
210,2016-08-01 00:00:00,416
211,2016-08-02 00:00:00,361
212,2016-08-03 00:00:00,308
213,2016-08-04 00:00:00,308
214,2016-08-05 00:00:00,303
215,2016-08-06 00:00:00,174
216,2016-08-07 00:00:00,173
217,2016-08-08 00:00:00,469
218,2016-08-09 00:00:00,330
219,2016-08-10 00:00:00,314
220,2016-08-11 00:00:00,342
221,2016-08-12 00:00:00,277
222,2016-08-13 00:00:00,173
223,2016-08-14 00:00:00,166
