,,Models,,,,,,,,,
date, Actual ,SARIMA,NNTAR,Exp Smoothing,LSTM,SVR,SARIMA-NNTAR,SARIMA-LSTM,ExpSmoothing-LSTM,SARIMA-SVR,ExpSmoothing-SVR
2016-05-06 0:00:00,346,,,,,,,,,,
2016-05-07 0:00:00,158,,,,,,,,,,
2016-05-08 0:00:00,172,,,,,,,,,,
2016-05-09 0:00:00,476,,,,,,,,,,
2016-05-10 0:00:00,379,,,,,,,,,,
2016-05-11 0:00:00,329,,,,,,,,,,
2016-05-12 0:00:00,360,,,,,,,,,,
2016-05-13 0:00:00,323,,,,,,,,,,
2016-05-14 0:00:00,180,,,,,,,,,,
2016-05-15 0:00:00,149,,,,,,,,,,
2016-05-16 0:00:00,445,,,,,,,,,,
2016-05-17 0:00:00,378,,,,,,,,,,
2016-05-18 0:00:00,327,,,,,,,,,,
2016-05-19 0:00:00,340,,,,,,,,,,
2016-05-20 0:00:00,320,,,,,,,,,,
2016-05-21 0:00:00,167,,,,,,,,,,
2016-05-22 0:00:00,180,,,,,,,,,,
2016-05-23 0:00:00,454,,,,,,,,,,
2016-05-24 0:00:00,368,,,,,,,,,,
2016-05-25 0:00:00,351,,,,,,,,,,
2016-05-26 0:00:00,304,,,,,,,,,,
2016-05-27 0:00:00,277,,,,,,,,,,
2016-05-28 0:00:00,177,,,,,,,,,,
2016-05-29 0:00:00,163,,,,,,,,,,
2016-05-30 0:00:00,451,,,,,,,,,,
2016-05-31 0:00:00,383,,,,,,,,,,
2016-06-01 0:00:00,319,,,,,,,,,,
2016-06-02 0:00:00,278,,,,,,,,,,
2016-06-03 0:00:00,289,,,,,,,,,,
2016-06-04 0:00:00,173,,,,,,,,,,
2016-06-05 0:00:00,154,,,,,,,,,,
2016-06-06 0:00:00,420,,,,,,,,,,
2016-06-07 0:00:00,309,,,,,,,,,,
2016-06-08 0:00:00,279,,,,,,,,,,
2016-06-09 0:00:00,129,,,,,,,,,,
2016-06-10 0:00:00,145,,,,,,,,,,
2016-06-11 0:00:00,202,,,,,,,,,,
2016-06-12 0:00:00,453,,,,,,,,,,
2016-06-13 0:00:00,434,,,,,,,,,,
2016-06-14 0:00:00,393,,,,,,,,,,
2016-06-15 0:00:00,316,,,,,,,,,,
2016-06-16 0:00:00,324,,,,,,,,,,
2016-06-17 0:00:00,296,,,,,,,,,,
2016-06-18 0:00:00,175,,,,,,,,,,
2016-06-19 0:00:00,162,,,,,,,,,,
2016-06-20 0:00:00,439,,,,,,,,,,
2016-06-21 0:00:00,333,,,,,,,,,,
2016-06-22 0:00:00,293,,,,,,,,,,
2016-06-23 0:00:00,323,,,,,,,,,,
2016-06-24 0:00:00,258,,,,,,,,,,
2016-06-25 0:00:00,128,,,,,,,,,,
2016-06-26 0:00:00,200,,,,,,,,,,
2016-06-27 0:00:00,467,,,,,,,,,,
2016-06-28 0:00:00,351,,,,,,,,,,
2016-06-29 0:00:00,312,,,,,,,,,,
